"","V1","season","id","name","position","team","conference","countablePlays","averagePPA.all","averagePPA.pass","averagePPA.rush"
"222",569,2019,4360175,"Clayton Tune","QB","Houston","American Athletic",241,0.247,0.22,0.356
"223",689,2020,4360175,"Clayton Tune","QB","Houston","American Athletic",313,0.243,0.167,0.665
"224",20,2015,534652,"Wes Lunt","QB","Illinois","Big Ten",500,0.115,0.114,0.242
"225",143,2016,534652,"Wes Lunt","QB","Illinois","Big Ten",250,0.152,0.143,0.469
"226",266,2017,3861927,"Jeff George Jr.","QB","Illinois","Big Ten",208,0.1,0.11,-0.071
"227",430,2018,3116087,"AJ Bush","QB","Illinois","Big Ten",351,0.198,0.037,0.501
"228",568,2019,4036262,"Brandon Peters","QB","Illinois","Big Ten",343,0.246,0.191,0.564
"229",119,2015,535825,"Nate Sudfeld","QB","Indiana","Big Ten",444,0.441,0.439,0.462
"230",189,2016,546687,"Richard Lagow","QB","Indiana","Big Ten",479,0.264,0.273,-0.041
"231",281,2017,4045290,"Peyton Ramsey","QB","Indiana","Big Ten",296,0.154,0.236,-0.061
"232",301,2017,546687,"Richard Lagow","QB","Indiana","Big Ten",331,0.217,0.246,-0.187
"233",425,2018,4045290,"Peyton Ramsey","QB","Indiana","Big Ten",555,0.192,0.164,0.34
"234",607,2019,4045290,"Peyton Ramsey","QB","Indiana","Big Ten",394,0.323,0.279,0.513
"235",697,2020,4360423,"Michael Penix Jr.","QB","Indiana","Big Ten",234,0.285,0.26,0.795
"236",108,2015,535844,"C.J. Beathard","QB","Iowa","Big Ten",455,0.389,0.34,0.655
"237",148,2016,535844,"C.J. Beathard","QB","Iowa","Big Ten",380,0.164,0.107,0.492
"238",329,2017,4036149,"Nathan Stanley","QB","Iowa","Big Ten",385,0.278,0.289,0.119
"239",495,2018,4036149,"Nathan Stanley","QB","Iowa","Big Ten",432,0.359,0.361,0.318
"240",575,2019,4036149,"Nathan Stanley","QB","Iowa","Big Ten",473,0.263,0.232,0.5
"241",682,2020,4360480,"Spencer Petras","QB","Iowa","Big Ten",276,0.218,0.184,0.59
"242",22,2015,511969,"Sam B. Richardson","QB","Iowa State","Big 12",245,0.142,0.136,0.178
"243",219,2016,559568,"Jacob Park","QB","Iowa State","Big 12",262,0.337,0.335,0.358
"244",365,2017,552119,"Kyle Kempt","QB","Iowa State","Big 12",274,0.375,0.419,-0.152
"245",512,2018,4361741,"Brock Purdy","QB","Iowa State","Big 12",287,0.424,0.453,0.338
"246",621,2019,4361741,"Brock Purdy","QB","Iowa State","Big 12",565,0.355,0.383,0.174
"247",725,2020,4361741,"Brock Purdy","QB","Iowa State","Big 12",449,0.378,0.341,0.566
"248",8,2015,3917958,"Ryan Willis","QB","Kansas","Big 12",365,0.038,0.018,0.287
"249",131,2016,545417,"Montell Cozart","QB","Kansas","Big 12",218,0.031,0.005,0.237
"250",258,2017,3917957,"Carter Stanley","QB","Kansas","Big 12",235,-0.003,0.004,-0.034
"251",273,2017,3127261,"Peyton Bender","QB","Kansas","Big 12",298,0.127,0.134,-0.112
"252",408,2018,3127261,"Peyton Bender","QB","Kansas","Big 12",354,0.122,0.127,-0.015
"253",581,2019,3917957,"Carter Stanley","QB","Kansas","Big 12",435,0.272,0.322,-0.109
"254",653,2020,4596472,"Jalon Daniels","QB","Kansas","Big 12",223,-0.036,-0.11,0.227
"255",45,2015,517248,"Joe Hubener","QB","Kansas State","Big 12",450,0.223,0.163,0.335
"256",207,2016,550448,"Jesse Ertz","QB","Kansas State","Big 12",445,0.305,0.203,0.485
"257",446,2018,4036419,"Skylar John Thompson","QB","Kansas State","Big 12",313,0.241,0.238,0.248
"258",631,2019,4036419,"Skylar John Thompson","QB","Kansas State","Big 12",403,0.377,0.365,0.418
"259",674,2020,4429955,"Will Howard","QB","Kansas State","Big 12",244,0.191,0.207,0.152
"260",3,2015,3125858,"George Bollas","QB","Kent State","Mid-American",203,-0.036,-0.069,0.04
"261",155,2016,550339,"Nick Holley","QB","Kent State","Mid-American",347,0.181,0.09,0.27
"262",257,2017,3125858,"George Bollas","QB","Kent State","Mid-American",283,-0.023,-0.041,0.019
"263",406,2018,4362340,"Woody Barrett","QB","Kent State","Mid-American",546,0.112,-0.012,0.565
"264",627,2019,4244068,"Dustin Crum","QB","Kent State","Mid-American",480,0.37,0.307,0.539
"265",28,2015,530944,"Patrick Towles","QB","Kentucky","SEC",402,0.164,0.114,0.513
"266",212,2016,557882,"Stephen Johnson","QB","Kentucky","SEC",351,0.315,0.277,0.454
"267",327,2017,557882,"Stephen Johnson","QB","Kentucky","SEC",416,0.272,0.196,0.613
"268",435,2018,4038940,"Terry Wilson","QB","Kentucky","SEC",354,0.206,0.143,0.37
"269",662,2020,4038940,"Terry Wilson","QB","Kentucky","SEC",300,0.126,0.092,0.2
"270",436,2018,4029885,"Stephen Calvert","QB","Liberty","FBS Independents",469,0.214,0.221,-0.101
"271",626,2019,4029885,"Stephen Calvert","QB","Liberty","FBS Independents",474,0.368,0.392,-0.321
"272",738,2020,4242512,"Malik Willis","QB","Liberty","FBS Independents",400,0.487,0.373,0.745
"273",30,2015,531430,"Jalen Nixon","QB","Louisiana","Sun Belt",200,0.169,0.023,0.526
"274",49,2015,531678,"Brooks Haack","QB","Louisiana","Sun Belt",244,0.237,0.204,0.465
"275",141,2016,546033,"Anthony Jennings","QB","Louisiana","Sun Belt",465,0.148,0.089,0.339
